Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 1 	 TrialTime 	 4.500257 	 ImageNumber 	 6 	 Dot 	 No 	 StimulusOn 	 5.318154 	 StimulusOff 	 5.821450 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 2 	 TrialTime 	 5.821897 	 ImageNumber 	 3 	 Dot 	 Yes 	 StimulusOn 	 5.970511 	 StimulusOff 	 6.473741 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 3 	 TrialTime 	 6.474305 	 ImageNumber 	 16 	 Dot 	 Yes 	 StimulusOn 	 6.603573 	 StimulusOff 	 7.106825 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 4 	 TrialTime 	 7.107488 	 ImageNumber 	 11 	 Dot 	 No 	 StimulusOn 	 7.216967 	 StimulusOff 	 7.721436 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 5 	 TrialTime 	 7.722111 	 ImageNumber 	 7 	 Dot 	 No 	 StimulusOn 	 7.830515 	 StimulusOff 	 8.334571 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 6 	 TrialTime 	 8.335169 	 ImageNumber 	 14 	 Dot 	 No 	 StimulusOn 	 8.469183 	 StimulusOff 	 8.972956 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 7 	 TrialTime 	 8.973453 	 ImageNumber 	 8 	 Dot 	 No 	 StimulusOn 	 9.096524 	 StimulusOff 	 9.600222 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 8 	 TrialTime 	 9.600593 	 ImageNumber 	 5 	 Dot 	 No 	 StimulusOn 	 9.710568 	 StimulusOff 	 10.213788 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 9 	 TrialTime 	 10.214160 	 ImageNumber 	 15 	 Dot 	 Yes 	 StimulusOn 	 10.335676 	 StimulusOff 	 10.838822 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 10 	 TrialTime 	 10.839183 	 ImageNumber 	 1 	 Dot 	 No 	 StimulusOn 	 10.959884 	 StimulusOff 	 11.463670 	 
Subject 	 1 	 InitialTime 	 556.343690 	 BlockNumber 	 1.000000 	 BlockCondition 	 Colour 	 BlockTime 	 4.487781 	 TrialNumber 	 11 	 TrialTime 	 11.464182 	 ImageNumber 	 2 	 Dot 	 No 	 StimulusOn 	 11.602767 	 StimulusOff 	 12.105905 	 
